sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
43697,BK-R93R-62,21768,20101229,20110105,20110110,3578.0,1,3578.0
43698,BK-M82S-44,28389,20101229,20110105,20110110,3400.0,1,3400.0
43699,BK-M82S-44,25863,20101229,20110105,20110110,3400.0,1,3400.0
43700,BK-R50B-62,14501,20101229,20110105,20110110,699.0,1,699.0
43701,BK-M82S-44,11003,20101229,20110105,20110110,3400.0,1,3400.0
43702,BK-R93R-44,27645,20101230,20110106,20110111,3578.0,1,3578.0
43703,BK-R93R-62,16624,20101230,20110106,20110111,3578.0,1,3578.0
43704,BK-M82B-48,11005,20101230,20110106,20110111,3375.0,1,3375.0
43705,BK-M82S-38,11011,20101230,20110106,20110111,3400.0,1,3400.0
43706,BK-R93R-48,27621,20101231,20110107,20110112,3578.0,1,3578.0
43707,BK-R93R-48,27616,20101231,20110107,20110112,3578.0,1,3578.0
43708,BK-R50R-52,20042,20101231,20110107,20110112,699.0,1,699.0
43709,BK-R93R-52,16351,20101231,20110107,20110112,3578.0,1,3578.0
43710,BK-R93R-56,16517,20101231,20110107,20110112,3578.0,1,3578.0
43711,BK-R93R-56,27606,20110101,20110108,20110113,3578.0,1,3578.0
43712,BK-R93R-44,13513,20110101,20110108,20110113,3578.0,1,3578.0
43713,BK-R93R-62,27601,20110102,20110109,20110114,3578.0,1,3578.0
43714,BK-R93R-44,13591,20110102,20110109,20110114,3578.0,1,3578.0
43715,BK-R93R-56,16483,20110102,20110109,20110114,3578.0,1,3578.0
43716,BK-R93R-44,16529,20110102,20110109,20110114,3578.0,1,3578.0
43717,BK-R50B-62,25249,20110102,20110109,20110114,699.0,1,699.0
43718,BK-R93R-44,27668,20110103,20110110,20110115,3578.0,1,3578.0
43719,BK-R93R-48,27612,20110103,20110110,20110115,3578.0,1,3578.0
43720,BK-R93R-44,13264,20110103,20110110,20110115,3578.0,1,3578.0
43721,BK-R93R-62,13590,20110103,20110110,20110115,3578.0,1,3578.0
43722,BK-R93R-48,13581,20110104,20110111,20110116,3578.0,1,3578.0
43723,BK-R50B-58,14520,20110104,20110111,20110116,699.0,1,699.0
43724,BK-R93R-44,16520,20110104,20110111,20110116,3578.0,1,3578.0
43725,BK-R93R-44,13258,20110105,20110112,20110117,3578.0,1,3578.0
43726,BK-R50B-58,14560,20110105,20110112,20110117,699.0,1,699.0
43727,BK-R93R-44,16607,20110105,20110112,20110117,3578.0,1,3578.0
43728,BK-R93R-52,27666,20110106,20110113,20110118,3578.0,1,3578.0
43729,BK-M82S-44,11238,20110106,20110113,20110118,3400.0,1,3400.0
43730,BK-M82S-44,25861,20110106,20110113,20110118,3400.0,1,3400.0
43731,BK-R93R-56,16629,20110106,20110113,20110118,3578.0,1,3578.0
43732,BK-M82B-44,11025,20110106,20110113,20110118,3375.0,1,3375.0
43733,BK-R93R-48,27577,20110106,20110113,20110118,3578.0,1,3578.0
43734,BK-R93R-48,27604,20110107,20110114,20110119,3578.0,1,3578.0
43735,BK-R93R-62,16522,20110107,20110114,20110119,3578.0,1,3578.0
43736,BK-M82S-44,11002,20110107,20110114,20110119,3400.0,1,3400.0
43737,BK-R93R-44,13261,20110108,20110115,20110120,3578.0,1,3578.0
43738,BK-R93R-48,11606,20110108,20110115,20110120,3578.0,1,3578.0
43739,BK-R93R-62,13563,20110108,20110115,20110120,3578.0,1,3578.0
43740,BK-R93R-48,16527,20110108,20110115,20110120,3578.0,1,3578.0
43741,BK-R93R-62,27671,20110109,20110116,20110121,3578.0,1,3578.0
43742,BK-R93R-56,13576,20110109,20110116,20110121,3578.0,1,3578.0
43743,BK-M82S-48,11007,20110109,20110116,20110121,3400.0,1,3400.0
43744,BK-R93R-52,16631,20110109,20110116,20110121,3578.0,1,3578.0
43745,BK-R93R-44,16514,20110110,20110117,20110122,3578.0,1,3578.0
43746,BK-R93R-48,16616,20110110,20110117,20110122,3578.0,1,3578.0
43747,BK-R93R-56,27623,20110111,20110118,20110123,3578.0,1,3578.0
43748,BK-R93R-52,27625,20110111,20110118,20110123,3578.0,1,3578.0
43749,BK-R93R-56,27636,20110111,20110118,20110123,3578.0,1,3578.0
43750,BK-R93R-44,11591,20110111,20110118,20110123,3578.0,1,3578.0
43751,BK-R93R-52,11592,20110111,20110118,20110123,3578.0,1,3578.0
43752,BK-R93R-44,13265,20110111,20110118,20110123,3578.0,1,3578.0
43753,BK-R93R-62,16482,20110111,20110118,20110123,3578.0,1,3578.0
43754,BK-R93R-48,27617,20110112,20110119,20110124,3578.0,1,3578.0
43755,BK-R93R-44,27670,20110112,20110119,20110124,3578.0,1,3578.0
43756,BK-R50B-58,19941,20110112,20110119,20110124,699.0,1,699.0
43757,BK-M82B-44,11017,20110112,20110119,20110124,3375.0,1,3375.0
43758,BK-R93R-62,27646,20110113,20110120,20110125,3578.0,1,3578.0
43759,BK-R93R-62,13257,20110113,20110120,20110125,3578.0,1,3578.0
43760,BK-R93R-56,16352,20110113,20110120,20110125,3578.0,1,3578.0
43761,BK-R93R-62,16493,20110113,20110120,20110125,3578.0,1,3578.0
43762,BK-R93R-56,27578,20110114,20110121,20110126,3578.0,1,3578.0
43763,BK-R93R-52,16525,20110114,20110121,20110126,3578.0,1,3578.0
43764,BK-R93R-62,16612,20110114,20110121,20110126,3578.0,1,3578.0
43765,BK-M82S-44,11010,20110114,20110121,20110126,3400.0,1,3400.0
43766,BK-R93R-52,16518,20110115,20110122,20110127,3578.0,1,3578.0
43767,BK-M82B-44,11001,20110115,20110122,20110127,3375.0,1,3375.0
43768,BK-R93R-48,27649,20110116,20110123,20110128,3578.0,1,3578.0
43769,BK-R93R-48,21659,20110116,20110123,20110128,3578.0,1,3578.0
43770,BK-R93R-48,27614,20110116,20110123,20110128,3578.0,1,3578.0
43771,BK-R50R-52,14559,20110116,20110123,20110128,699.0,1,699.0
43772,BK-R93R-48,16524,20110116,20110123,20110128,3578.0,1,3578.0
43773,BK-R93R-56,16526,20110116,20110123,20110128,3578.0,1,3578.0
43774,BK-R93R-52,16348,20110116,20110123,20110128,3578.0,1,3578.0
43775,BK-M82S-48,11027,20110116,20110123,20110128,3400.0,1,3400.0
43776,BK-R93R-56,13260,20110117,20110124,20110129,3578.0,1,3578.0
43777,BK-R93R-44,16515,20110117,20110124,20110129,3578.0,1,3578.0
43778,BK-M82S-42,11018,20110117,20110124,20110129,3400.0,1,3400.0
43779,BK-R50R-44,25252,20110117,20110124,20110129,699.0,1,699.0
43780,BK-R93R-44,11599,20110118,20110125,20110130,3578.0,1,3578.0
43781,BK-R93R-48,16495,20110118,20110125,20110130,3578.0,1,3578.0
43782,BK-R93R-48,16516,20110118,20110125,20110130,3578.0,1,3578.0
43783,BK-R93R-48,16620,20110118,20110125,20110130,3578.0,1,3578.0
43784,BK-R93R-62,27667,20110119,20110126,20110131,3578.0,1,3578.0
43785,BK-R93R-44,11601,20110119,20110126,20110131,3578.0,1,3578.0
43786,BK-R93R-44,11607,20110119,20110126,20110131,3578.0,1,3578.0
43787,BK-M82S-38,29385,20110119,20110126,20110131,3400.0,1,3400.0
43788,BK-M82B-48,11239,20110119,20110126,20110131,3375.0,1,3375.0
43789,BK-M82B-48,25865,20110119,20110126,20110131,3375.0,1,3375.0
43790,BK-M82S-38,25857,20110119,20110126,20110131,3400.0,1,3400.0
43791,BK-R93R-56,16484,20110119,20110126,20110131,3578.0,1,3578.0
43792,BK-R93R-48,16623,20110119,20110126,20110131,3578.0,1,3578.0
43793,BK-M82S-38,11000,20110119,20110126,20110131,3400.0,1,3400.0
43794,BK-M82S-48,11029,20110119,20110126,20110131,3400.0,1,3400.0
43795,BK-R93R-48,27615,20110120,20110127,20110201,3578.0,1,3578.0
43796,BK-R50B-52,17956,20110120,20110127,20110201,699.0,1,699.0
43797,BK-R93R-48,16345,20110120,20110127,20110201,3578.0,1,3578.0
43798,BK-R93R-62,16521,20110120,20110127,20110201,3578.0,1,3578.0
43799,BK-R93R-48,16636,20110120,20110127,20110201,3578.0,1,3578.0
43800,BK-R93R-44,21710,20110121,20110128,20110202,3578.0,1,3578.0
43801,BK-R93R-44,13583,20110121,20110128,20110202,3578.0,1,3578.0
43802,BK-R93R-48,11593,20110121,20110128,20110202,3578.0,1,3578.0
43803,BK-R93R-56,21741,20110122,20110129,20110203,3578.0,1,3578.0
43804,BK-R93R-62,13585,20110122,20110129,20110203,3578.0,1,3578.0
43805,BK-R50R-48,14510,20110122,20110129,20110203,699.0,1,699.0
43806,BK-R93R-48,16523,20110122,20110129,20110203,3578.0,1,3578.0
43807,BK-R93R-48,11611,20110123,20110130,20110204,3578.0,1,3578.0
43808,BK-R93R-52,13259,20110123,20110130,20110204,3578.0,1,3578.0
43809,BK-R93R-62,16350,20110123,20110130,20110204,3578.0,1,3578.0
