CID,BDATE,GEN
11000,1971-10-06,Male
11001,1976-05-10,Male
11002,1971-02-09,Male
11003,1973-08-14,Female
11004,1979-08-05,Female
11005,1976-08-01,Male
11006,1976-12-02,Female
11007,1969-11-06,Male
11008,1975-07-04,Female
11009,1969-09-29,Male
11010,1969-08-05,Female
11011,1969-05-03,Male
11012,1979-01-14,Female
11013,1979-08-03,Male
11014,1973-11-06,Female
11015,1984-08-26,Female
11016,1984-10-25,Male
11017,1949-12-24,Female
11018,1955-10-06,Male
11019,1983-09-04,Male
11020,1984-03-19,Male
11021,1984-03-02,Female
11022,1984-04-10,Female
11023,1984-04-09,Female
11024,1984-03-16,Female
11025,1951-06-22,Female
11026,1951-10-01,Female
11027,1952-06-05,Female
11028,1951-10-09,Female
11029,1952-06-19,Female
11030,1958-02-18,Female
11031,1953-02-18,Female
11032,1952-12-08,Female
11033,1958-09-19,Female
11034,1952-12-16,Female
11035,1953-08-23,Female
11036,1984-06-16,Female
11037,1983-05-27,Female
11038,1953-09-20,Female
11039,1954-06-16,  
11040,1983-01-29, 
11041,1983-04-15, 
11042,1982-12-11,Female
11043,1981-08-23,Female
11044,1954-11-21,Female
11045,1955-11-16,Female
11046,1955-09-19,Female
11047,1955-08-27,Female
11048,1956-05-21,Female
11049,1986-01-15,Female
11050,1957-03-06,Female
11051,1957-01-31,Female
11052,1957-02-03,Female
11053,1986-02-17,Female
11054,1957-09-07,Female
11055,1957-09-02,M 
11056,1958-10-01,F 
11057,1970-04-07,Female
11058,1965-04-23,Female
11059,1959-09-29,Female
11060,1959-09-14,Female
11061,1976-02-20,Male
11062,1981-03-01,Male
11063,1980-10-04,Female
11064,1981-06-05,Male
11065,1979-04-08,Female
11066,1979-05-27,Female
11067,1982-03-25,Male
11068,1966-09-19,Female
11069,1966-09-17,Female
11070,1960-10-02,Male
11071,1960-12-23,Female
11072,1960-08-05,Female
11073,1962-02-11,Female
11074,1962-02-25,Male
11075,1963-05-16,Female
11076,1963-01-10,Male
11077,1963-03-19,Female
11078,1985-01-06,Female
11079,1970-03-07,Male
11080,1965-01-13,Male
11081,1972-01-21,Female
11082,1972-02-01,Female
11083,1977-03-11,Female
11084,1963-03-12,Male
11085,1963-01-16,Female
11086,1963-06-22,Male
11087,1963-04-02,Female
11088,1963-05-25,Male
11089,1962-08-05,Female
11090,1968-12-13,Male
11091,1962-10-02,Male
11092,1972-11-02,Female
11093,1978-09-06,Female
11094,1967-09-29,Male
11095,1968-02-29,Male
11096,1968-02-07,Male
11097,1972-10-23,Male
11098,1966-10-29,Female
11099,1966-09-05,Male
11100,1966-03-15,Female
11101,1970-11-05,Female
11102,1970-10-19,Female
11103,1981-04-12,Female
11104,1975-03-08,Male
11105,1970-06-27,Female
11106,1970-03-11,Male
11107,1976-03-04,Female
11108,1969-01-10,Female
11109,1980-04-30,Male
11110,1967-12-04,Male
11111,1967-08-23,Female
11112,1968-03-08,Female
11113,1973-02-17,Male
11114,1967-11-25,Female
11115,1967-08-12,Male
11116,1979-04-02,Male
11117,1966-08-21,Female
11118,1962-12-31,Male
11119,1940-10-07,Male
11120,1942-02-06,Female
11121,1966-05-18,Male
11122,1965-09-30,Male
11123,1965-12-18,Male
11124,1968-07-23,Male
11125,1961-10-06,Female
11126,1954-10-05,Male
11127,1981-04-19,Female
11128,1981-06-03,Female
11129,1981-02-01,Female
11130,1985-07-05,Female
11131,1985-09-09,Female
11132,1986-04-25,Female
11133,1986-03-08,Female
11134,1957-02-22,Male
11135,1985-05-02,Male
11136,1984-04-24,Female
11137,1984-01-17,Female
11138,1984-03-14,Female
11139,1949-11-05,Female
11140,1982-08-11,Male
