CID,CNTRY
11000,Australia
11001,Australia
11002,Australia
11003,Australia
11004,Australia
11005,Australia
11006,Australia
11007,Australia
11008,Australia
11009,Australia
11010,Australia
11011,Australia
11012,US
11013,US
11014,US
11015,US
11016,US
11017,Australia
11018,Australia
11019,Canada
11020,Canada
11021,US
11022,US
11023,US
11024,US
11025,Australia
11026,Australia
11027,Australia
11028,Australia
11029,Australia
11030,Australia
11031,Australia
11032,Australia
11033,Australia
11034,Australia
11035,Australia
11036,US
11037,Canada
11038,Australia
11039,Australia
11040,US
11041,US
11042,US
11043,US
11044,Australia
11045,Australia
11046,Australia
11047,Australia
11048,Australia
11049,US
11050,Australia
11051,Australia
11052,Australia
11053,US
11054,Australia
11055,Australia
11056,Australia
11057,Australia
11058,Australia
11059,Australia
11060,Australia
11061,Australia
11062,US
11063,US
11064,US
11065,US
11066,US
11067,US
11068,Australia
11069,Australia
11070,Australia
11071,Australia
11072,Australia
11073,Australia
11074,Australia
11075,Australia
11076,Australia
11077,Australia
11078,Canada
11079,Australia
11080,Australia
11081,US
11082,US
11083,US
11084,US
11085,US
11086,US
11087,US
11088,US
11089,US
11090,US
11091,Canada
11092,Australia
11093,Australia
11094,Australia
11095,Australia
11096,Australia
11097,Australia
11098,Australia
11099,Australia
11100,Australia
11101,Australia
11102,Australia
11103,Australia
11104,Australia
11105,Australia
11106,Australia
11107,Australia
11108,Australia
11109,Australia
11110,Australia
11111,Australia
11112,Australia
11113,Australia
11114,Australia
11115,Australia
11116,Australia
11117,Australia
11118,Australia
11119,Australia
11120,Australia
11121,Australia
11122,Australia
11123,Australia
11124,Australia
11125,Australia
11126,Australia
11127,US
11128,US
11129,US
11130,US
11131,Canada
11132,Canada
11133,US
11134,Australia
11135,US
11136,Canada
11137,US
11138,US
11139,Australia
11140,US
11141,US
11142,Canada
11143,US
11144,US
11145,US
11146,Australia
11147,Australia
11148,Australia
11149,Australia
11150,Australia
11151,Australia
11152,US
11153,US
11154,US
11155,US
11156,US
11157,US
11158,US
11159,US
11160,US
11161,US
11162,US
11163,US
11164,US
11165,US
11166,US
11167,US
