product_id,product_name,category,price
PROD1000,High,Snacks,553.33
PROD1001,Business,Beverages,718.04
PROD1002,Along,Household,606.74
PROD1003,Organization,Personal Care,549.43
PROD1004,Risk,Electronics,429.42
PROD1005,Exactly,Personal Care,649.44
PROD1006,Same,Beverages,443.21
PROD1007,Need,Beverages,892.86
PROD1008,Minute,Personal Care,964.03
PROD1009,Admit,Beverages,389.61
PROD1010,Watch,Snacks,793.81
PROD1011,Without,Snacks,533.61
PROD1012,Nothing,Electronics,572.36
PROD1013,Own,Personal Care,926.34
PROD1014,Agent,Snacks,80.33
PROD1015,Use,Beverages,96.26
PROD1016,Wife,Electronics,30.02
PROD1017,Treatment,Household,834.29
PROD1018,Between,Beverages,780.38
PROD1019,Whether,Electronics,871.31
PROD1020,Couple,Snacks,978.83
PROD1021,Understand,Household,801.17
PROD1022,Even,Household,466.86
PROD1023,Beautiful,Snacks,782.72
PROD1024,Population,Beverages,127.09
PROD1025,Father,Beverages,643.52
PROD1026,Factor,Personal Care,151.92
PROD1027,Risk,Snacks,945.22
PROD1028,And,Beverages,526.63
PROD1029,Serve,Snacks,420.52
PROD1030,Enough,Personal Care,271.91
PROD1031,Pm,Personal Care,776.49
PROD1032,Week,Beverages,461.59
PROD1033,Support,Beverages,572.75
PROD1034,Tv,Personal Care,28.6
PROD1035,Network,Household,621.46
PROD1036,Often,Snacks,615.97
PROD1037,Series,Beverages,620.76
PROD1038,Necessary,Electronics,944.31
PROD1039,Ten,Beverages,685.0
PROD1040,Place,Electronics,365.91
PROD1041,Body,Electronics,442.66
PROD1042,American,Household,700.65
PROD1043,Learn,Beverages,69.62
PROD1044,Sort,Personal Care,670.1
PROD1045,Act,Personal Care,673.93
PROD1046,Seat,Household,218.28
PROD1047,Imagine,Snacks,137.64
PROD1048,Turn,Electronics,322.27
PROD1049,Name,Personal Care,370.07
PROD1050,Low,Household,574.49
PROD1051,Whose,Beverages,444.22
PROD1052,Oil,Personal Care,988.49
PROD1053,Simple,Beverages,111.02
PROD1054,Car,Personal Care,216.79
PROD1055,While,Electronics,169.7
PROD1056,Morning,Electronics,656.58
PROD1057,But,Electronics,260.76
PROD1058,Until,Electronics,471.65
PROD1059,Production,Beverages,251.98
PROD1060,Relationship,Beverages,167.38
PROD1061,Can,Beverages,119.27
PROD1062,Provide,Snacks,659.77
PROD1063,Among,Household,146.8
PROD1064,Decision,Snacks,204.62
PROD1065,Whom,Beverages,375.04
PROD1066,Police,Household,822.78
PROD1067,Huge,Beverages,106.13
PROD1068,Property,Snacks,839.57
PROD1069,Blood,Personal Care,105.14
PROD1070,Especially,Electronics,976.69
PROD1071,Project,Snacks,473.96
PROD1072,Scene,Household,976.99
PROD1073,Present,Electronics,608.8
PROD1074,Section,Household,741.87
PROD1075,Our,Personal Care,48.8
PROD1076,Exactly,Personal Care,289.98
PROD1077,Task,Electronics,128.99
PROD1078,Several,Household,303.18
PROD1079,Candidate,Beverages,127.54
PROD1080,People,Beverages,324.8
PROD1081,Figure,Beverages,420.12
PROD1082,Thus,Electronics,73.51
PROD1083,Information,Household,695.55
PROD1084,Like,Electronics,570.94
