sale_id,customer_id,product_id,store_id,sale_date,quantity,total_amount
SALE100000,CUST8719,PROD1409,STORE164,2024-11-07,1,377.14
SALE100001,CUST1284,PROD1317,STORE178,2025-02-19,2,1467.1
SALE100002,CUST1000,PROD1461,STORE159,2025-08-06,9,2517.39
SALE100003,CUST5803,PROD1056,STORE177,2025-10-13,1,73.51
SALE100004,CUST6851,PROD1115,STORE107,2021-09-01,9,2116.26
SALE100005,CUST3963,PROD1271,STORE102,2025-05-16,9,318.68999999999994
SALE100006,CUST10378,PROD1022,STORE121,2024-01-02,9,626.58
SALE100007,CUST3098,PROD1367,STORE110,2024-02-14,9,8634.51
SALE100008,CUST5966,PROD1410,STORE193,2022-02-04,9,6065.37
SALE100009,CUST3068,PROD1172,STORE190,2020-02-11,5,1926.35
SALE100010,CUST7827,PROD1127,STORE108,2023-06-09,1,173.05
SALE100011,CUST6604,PROD1170,STORE197,2024-04-07,8,7362.32
SALE100012,CUST7509,PROD1293,STORE150,2024-05-16,4,2654.28
SALE100013,CUST8874,PROD1299,STORE196,2024-06-30,1,580.19
SALE100014,CUST9417,PROD1066,STORE193,2025-08-08,4,58.6
SALE100015,CUST8820,PROD1068,STORE109,2023-03-24,7,4869.27
SALE100016,CUST2807,PROD1289,STORE112,2022-09-05,2,829.92
SALE100017,CUST4190,PROD1008,STORE162,2021-06-30,7,3226.23
SALE100018,CUST2932,PROD1207,STORE109,2021-12-08,7,2984.31
SALE100019,CUST4973,PROD1341,STORE142,2021-09-07,4,550.28
SALE100020,CUST1266,PROD1441,STORE136,2022-09-06,3,2956.92
SALE100021,CUST6382,PROD1084,STORE150,2020-04-27,4,1744.4
SALE100022,CUST9806,PROD1485,STORE173,2021-06-02,3,1584.06
SALE100023,CUST10557,PROD1018,STORE185,2025-06-01,3,784.1999999999999
SALE100024,CUST3418,PROD1093,STORE154,2024-07-14,2,591.02
SALE100025,CUST7834,PROD1452,STORE152,2025-01-03,1,953.26
SALE100026,CUST8500,PROD1042,STORE193,2021-11-30,7,3282.58
SALE100027,CUST5765,PROD1182,STORE106,2022-02-14,9,3183.84
SALE100028,CUST6641,PROD1037,STORE107,2024-01-26,4,116.0
SALE100029,CUST9819,PROD1452,STORE189,2023-01-02,8,6674.32
SALE100030,CUST10160,PROD1274,STORE183,2022-08-07,2,1439.38
SALE100031,CUST5485,PROD1172,STORE158,2025-01-24,8,4268.88
SALE100032,CUST7772,PROD1222,STORE182,2025-09-02,6,3896.64
SALE100033,CUST9373,PROD1455,STORE139,2023-07-25,4,720.52
SALE100034,CUST3283,PROD1072,STORE119,2022-12-17,2,826.22
SALE100035,CUST5289,PROD1484,STORE142,2020-10-03,9,5346.09
SALE100036,CUST7732,PROD1061,STORE147,2023-01-17,9,6143.400000000001
SALE100037,CUST1120,PROD1143,STORE132,2022-11-24,4,1234.32
SALE100038,CUST9717,PROD1348,STORE118,2022-08-24,5,152.20000000000002
SALE100039,CUST1222,PROD1186,STORE133,2021-01-06,1,868.62
SALE100040,CUST4676,PROD1240,STORE189,2021-08-23,9,7494.66
SALE100041,CUST5332,PROD1187,STORE198,2021-01-19,7,4352.88
SALE100042,CUST4632,PROD1476,STORE162,2020-07-02,3,1744.38
SALE100043,CUST10768,PROD1228,STORE125,2024-12-22,3,2870.52
SALE100044,CUST10114,PROD1350,STORE190,2022-08-25,8,5002.08
SALE100045,CUST8326,PROD1365,STORE180,2022-11-22,8,4639.92
SALE100046,CUST8557,PROD1076,STORE153,2022-05-03,8,2991.12
SALE100047,CUST3544,PROD1050,STORE133,2022-01-04,6,4848.78
SALE100048,CUST7432,PROD1485,STORE154,2023-10-15,4,751.24
SALE100049,CUST1062,PROD1336,STORE194,2024-10-13,4,2059.68
SALE100050,CUST7490,PROD1341,STORE190,2024-09-08,6,3716.4
SALE100051,CUST3023,PROD1481,STORE149,2024-12-06,2,522.8
SALE100052,CUST9342,PROD1234,STORE155,2022-01-28,4,354.92
SALE100053,CUST9595,PROD1222,STORE177,2022-08-20,5,4353.95
SALE100054,CUST3437,PROD1024,STORE170,2024-05-02,4,437.16
SALE100055,CUST3852,PROD1361,STORE109,2024-02-19,9,5627.34
SALE100056,CUST1127,PROD1467,STORE192,2020-03-15,4,3436.6
SALE100057,CUST2508,PROD1440,STORE174,2025-08-31,2,491.02
SALE100058,CUST10989,PROD1137,STORE183,2023-04-06,7,5435.43
SALE100059,CUST3508,PROD1492,STORE160,2023-11-17,9,7786.98
SALE100060,CUST8322,PROD1212,STORE169,2022-06-01,1,896.43
SALE100061,CUST10299,PROD1072,STORE112,2025-05-30,2,1044.42
SALE100062,CUST3022,PROD1254,STORE186,2024-09-16,2,559.42
SALE100063,CUST10351,PROD1166,STORE130,2021-07-11,4,961.68
SALE100064,CUST4252,PROD1323,STORE150,2024-07-24,2,754.28
SALE100065,CUST1592,PROD1071,STORE188,2024-11-07,6,464.34
SALE100066,CUST7557,PROD1157,STORE183,2024-12-28,9,8989.74
SALE100067,CUST2024,PROD1234,STORE141,2024-12-12,5,2025.2
SALE100068,CUST4799,PROD1417,STORE130,2021-09-02,8,2364.08
SALE100069,CUST5669,PROD1481,STORE176,2022-02-18,7,4035.71
SALE100070,CUST3371,PROD1473,STORE170,2020-02-13,3,2693.1000000000004
SALE100071,CUST10673,PROD1043,STORE108,2020-03-18,3,1566.42
SALE100072,CUST8764,PROD1025,STORE147,2022-06-14,1,951.44
SALE100073,CUST1116,PROD1411,STORE186,2025-12-14,1,861.95
SALE100074,CUST9933,PROD1360,STORE101,2020-11-20,5,2021.2
SALE100075,CUST8935,PROD1219,STORE193,2024-02-06,8,2425.44
SALE100076,CUST1824,PROD1484,STORE187,2024-08-19,5,4295.75
SALE100077,CUST8096,PROD1321,STORE141,2025-12-17,6,4743.96
SALE100078,CUST7704,PROD1416,STORE176,2023-12-01,1,920.29
SALE100079,CUST6265,PROD1145,STORE176,2025-12-11,4,2800.12
SALE100080,CUST9121,PROD1183,STORE166,2021-08-13,9,596.52
SALE100081,CUST4593,PROD1239,STORE157,2022-10-07,5,3953.3
SALE100082,CUST6310,PROD1307,STORE182,2025-10-09,3,103.29
SALE100083,CUST9934,PROD1201,STORE105,2023-09-14,3,1744.38
SALE100084,CUST8374,PROD1305,STORE159,2024-01-18,8,1060.64
SALE100085,CUST9609,PROD1136,STORE162,2021-11-29,7,561.12
SALE100086,CUST3276,PROD1090,STORE195,2025-02-20,9,3645.36
SALE100087,CUST2863,PROD1123,STORE103,2023-06-11,6,5687.4
SALE100088,CUST8486,PROD1136,STORE105,2023-07-30,7,1018.71
SALE100089,CUST9199,PROD1472,STORE122,2020-09-07,2,1311.16
SALE100090,CUST7653,PROD1268,STORE109,2022-02-22,5,3648.85
SALE100091,CUST9982,PROD1141,STORE170,2020-09-28,4,720.52
SALE100092,CUST2890,PROD1093,STORE198,2025-01-26,8,4651.68
SALE100093,CUST10974,PROD1327,STORE137,2023-02-15,6,5847.06
SALE100094,CUST2616,PROD1184,STORE117,2024-11-03,2,111.1
SALE100095,CUST10371,PROD1004,STORE127,2025-02-05,5,3534.25
SALE100096,CUST5591,PROD1318,STORE124,2023-12-24,9,2010.15
SALE100097,CUST1626,PROD1480,STORE119,2022-03-15,2,1029.84
SALE100098,CUST7103,PROD1259,STORE162,2020-09-14,9,3973.59
SALE100099,CUST6966,PROD1379,STORE152,2022-08-21,5,1023.1
SALE100100,CUST9990,PROD1429,STORE132,2024-09-10,4,820.32
SALE100101,CUST3138,PROD1131,STORE149,2023-04-04,7,1456.0
SALE100102,CUST7819,PROD1429,STORE117,2022-09-26,4,3267.28
SALE100103,CUST8239,PROD1199,STORE111,2021-12-12,2,1319.54
SALE100104,CUST8021,PROD1325,STORE182,2024-01-30,6,3751.56
SALE100105,CUST5517,PROD1493,STORE165,2025-04-28,8,1547.04
SALE100106,CUST9629,PROD1353,STORE103,2024-03-07,8,7180.64
SALE100107,CUST7245,PROD1420,STORE164,2025-01-20,1,732.82
SALE100108,CUST8008,PROD1389,STORE144,2023-08-10,1,109.22
SALE100109,CUST2745,PROD1417,STORE169,2023-02-18,6,3339.36
SALE100110,CUST9292,PROD1205,STORE147,2025-06-01,4,820.32
SALE100111,CUST2409,PROD1412,STORE131,2022-07-18,5,1303.8
SALE100112,CUST1765,PROD1408,STORE125,2022-09-10,9,5154.75
SALE100113,CUST6277,PROD1157,STORE174,2023-07-18,1,952.36
SALE100114,CUST5997,PROD1450,STORE101,2020-03-05,7,1717.52
SALE100115,CUST9144,PROD1159,STORE116,2023-03-09,3,2151.3
SALE100116,CUST5326,PROD1025,STORE114,2025-01-05,3,582.99
SALE100117,CUST7056,PROD1142,STORE176,2023-05-23,3,1472.31
SALE100118,CUST3710,PROD1463,STORE145,2025-02-05,6,3159.78
SALE100119,CUST4102,PROD1497,STORE112,2020-04-06,1,994.46
SALE100120,CUST7675,PROD1065,STORE196,2021-09-13,1,128.99
SALE100121,CUST10988,PROD1344,STORE155,2023-01-23,9,4201.74
SALE100122,CUST5756,PROD1140,STORE189,2020-07-27,3,2424.39
SALE100123,CUST8018,PROD1070,STORE194,2022-04-04,6,325.02
SALE100124,CUST3634,PROD1247,STORE137,2025-02-05,5,4806.15
SALE100125,CUST1123,PROD1101,STORE147,2021-12-05,1,576.53
SALE100126,CUST7460,PROD1189,STORE179,2020-03-26,9,7732.349999999999
SALE100127,CUST2629,PROD1486,STORE199,2024-08-21,6,1373.6999999999998
SALE100128,CUST6672,PROD1186,STORE186,2025-08-21,7,2687.79
