store_id,store_name,location,manager,rejection_reason,rejection_timestamp
STORE755,Franklin Store,West Georgetown,Mark Hall,"Database insertion failed: (pymysql.err.IntegrityError) (1062, ""Duplicate entry 'STORE500' for key 'dimstore.store_id'"")
[SQL: INSERT INTO dimstore (store_id, store_name, location, manager) VALUES (%(store_id)s, %(store_name)s, %(location)s, %(manager)s)]
[parameters: [{'store_id': 'STORE755', 'store_name': 'Franklin Store', 'location': 'West Georgetown', 'manager': 'Mark Hall'}, {'store_id': 'STORE756', 'store_name': 'Newport Store', 'location': 'West Washington', 'manager': 'Michael Miller'}, {'store_id': 'STORE757', 'store_name': 'Milton Store', 'location': 'West Richmondtown', 'manager': 'George Turner'}, {'store_id': 'STORE758', 'store_name': 'Oxford Store', 'location': 'West Madisontown', 'manager': 'Nancy Martinez'}, {'store_id': 'STORE759', 'store_name': 'Burlington Store', 'location': 'East Riverside', 'manager': 'Andrew Scott'}, {'store_id': 'STORE760', 'store_name': 'Madison Store', 'location': 'East Washington', 'manager': 'Sharon Green'}, {'store_id': 'STORE761', 'store_name': 'Milton Store', 'location': 'West Oxford', 'manager': 'Richard Taylor'}, {'store_id': 'STORE762', 'store_name': 'Marion Store', 'location': 'West Richmond', 'manager': 'Steven King'}  ... displaying 10 of 1000 total bound parameter sets ...  {'store_id': 'STORE1510', 'store_name': 'Riverside Store', 'location': 'East Washington', 'manager': 'Emily Mitchell'}, {'store_id': 'STORE1511', 'store_name': 'Milton Store', 'location': 'East Bristol', 'manager': 'Mark Hall'}]]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2025-08-22 14:31:45.507722
STORE756,Newport Store,West Washington,Michael Miller,"Database insertion failed: (pymysql.err.IntegrityError) (1062, ""Duplicate entry 'STORE500' for key 'dimstore.store_id'"")
[SQL: INSERT INTO dimstore (store_id, store_name, location, manager) VALUES (%(store_id)s, %(store_name)s, %(location)s, %(manager)s)]
[parameters: [{'store_id': 'STORE755', 'store_name': 'Franklin Store', 'location': 'West Georgetown', 'manager': 'Mark Hall'}, {'store_id': 'STORE756', 'store_name': 'Newport Store', 'location': 'West Washington', 'manager': 'Michael Miller'}, {'store_id': 'STORE757', 'store_name': 'Milton Store', 'location': 'West Richmondtown', 'manager': 'George Turner'}, {'store_id': 'STORE758', 'store_name': 'Oxford Store', 'location': 'West Madisontown', 'manager': 'Nancy Martinez'}, {'store_id': 'STORE759', 'store_name': 'Burlington Store', 'location': 'East Riverside', 'manager': 'Andrew Scott'}, {'store_id': 'STORE760', 'store_name': 'Madison Store', 'location': 'East Washington', 'manager': 'Sharon Green'}, {'store_id': 'STORE761', 'store_name': 'Milton Store', 'location': 'West Oxford', 'manager': 'Richard Taylor'}, {'store_id': 'STORE762', 'store_name': 'Marion Store', 'location': 'West Richmond', 'manager': 'Steven King'}  ... displaying 10 of 1000 total bound parameter sets ...  {'store_id': 'STORE1510', 'store_name': 'Riverside Store', 'location': 'East Washington', 'manager': 'Emily Mitchell'}, {'store_id': 'STORE1511', 'store_name': 'Milton Store', 'location': 'East Bristol', 'manager': 'Mark Hall'}]]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2025-08-22 14:31:45.507722
STORE757,Milton Store,West Richmondtown,George Turner,"Database insertion failed: (pymysql.err.IntegrityError) (1062, ""Duplicate entry 'STORE500' for key 'dimstore.store_id'"")
[SQL: INSERT INTO dimstore (store_id, store_name, location, manager) VALUES (%(store_id)s, %(store_name)s, %(location)s, %(manager)s)]
[parameters: [{'store_id': 'STORE755', 'store_name': 'Franklin Store', 'location': 'West Georgetown', 'manager': 'Mark Hall'}, {'store_id': 'STORE756', 'store_name': 'Newport Store', 'location': 'West Washington', 'manager': 'Michael Miller'}, {'store_id': 'STORE757', 'store_name': 'Milton Store', 'location': 'West Richmondtown', 'manager': 'George Turner'}, {'store_id': 'STORE758', 'store_name': 'Oxford Store', 'location': 'West Madisontown', 'manager': 'Nancy Martinez'}, {'store_id': 'STORE759', 'store_name': 'Burlington Store', 'location': 'East Riverside', 'manager': 'Andrew Scott'}, {'store_id': 'STORE760', 'store_name': 'Madison Store', 'location': 'East Washington', 'manager': 'Sharon Green'}, {'store_id': 'STORE761', 'store_name': 'Milton Store', 'location': 'West Oxford', 'manager': 'Richard Taylor'}, {'store_id': 'STORE762', 'store_name': 'Marion Store', 'location': 'West Richmond', 'manager': 'Steven King'}  ... displaying 10 of 1000 total bound parameter sets ...  {'store_id': 'STORE1510', 'store_name': 'Riverside Store', 'location': 'East Washington', 'manager': 'Emily Mitchell'}, {'store_id': 'STORE1511', 'store_name': 'Milton Store', 'location': 'East Bristol', 'manager': 'Mark Hall'}]]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2025-08-22 14:31:45.507722
STORE758,Oxford Store,West Madisontown,Nancy Martinez,"Database insertion failed: (pymysql.err.IntegrityError) (1062, ""Duplicate entry 'STORE500' for key 'dimstore.store_id'"")
[SQL: INSERT INTO dimstore (store_id, store_name, location, manager) VALUES (%(store_id)s, %(store_name)s, %(location)s, %(manager)s)]
[parameters: [{'store_id': 'STORE755', 'store_name': 'Franklin Store', 'location': 'West Georgetown', 'manager': 'Mark Hall'}, {'store_id': 'STORE756', 'store_name': 'Newport Store', 'location': 'West Washington', 'manager': 'Michael Miller'}, {'store_id': 'STORE757', 'store_name': 'Milton Store', 'location': 'West Richmondtown', 'manager': 'George Turner'}, {'store_id': 'STORE758', 'store_name': 'Oxford Store', 'location': 'West Madisontown', 'manager': 'Nancy Martinez'}, {'store_id': 'STORE759', 'store_name': 'Burlington Store', 'location': 'East Riverside', 'manager': 'Andrew Scott'}, {'store_id': 'STORE760', 'store_name': 'Madison Store', 'location': 'East Washington', 'manager': 'Sharon Green'}, {'store_id': 'STORE761', 'store_name': 'Milton Store', 'location': 'West Oxford', 'manager': 'Richard Taylor'}, {'store_id': 'STORE762', 'store_name': 'Marion Store', 'location': 'West Richmond', 'manager': 'Steven King'}  ... displaying 10 of 1000 total bound parameter sets ...  {'store_id': 'STORE1510', 'store_name': 'Riverside Store', 'location': 'East Washington', 'manager': 'Emily Mitchell'}, {'store_id': 'STORE1511', 'store_name': 'Milton Store', 'location': 'East Bristol', 'manager': 'Mark Hall'}]]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2025-08-22 14:31:45.507722
STORE759,Burlington Store,East Riverside,Andrew Scott,"Database insertion failed: (pymysql.err.IntegrityError) (1062, ""Duplicate entry 'STORE500' for key 'dimstore.store_id'"")
[SQL: INSERT INTO dimstore (store_id, store_name, location, manager) VALUES (%(store_id)s, %(store_name)s, %(location)s, %(manager)s)]
[parameters: [{'store_id': 'STORE755', 'store_name': 'Franklin Store', 'location': 'West Georgetown', 'manager': 'Mark Hall'}, {'store_id': 'STORE756', 'store_name': 'Newport Store', 'location': 'West Washington', 'manager': 'Michael Miller'}, {'store_id': 'STORE757', 'store_name': 'Milton Store', 'location': 'West Richmondtown', 'manager': 'George Turner'}, {'store_id': 'STORE758', 'store_name': 'Oxford Store', 'location': 'West Madisontown', 'manager': 'Nancy Martinez'}, {'store_id': 'STORE759', 'store_name': 'Burlington Store', 'location': 'East Riverside', 'manager': 'Andrew Scott'}, {'store_id': 'STORE760', 'store_name': 'Madison Store', 'location': 'East Washington', 'manager': 'Sharon Green'}, {'store_id': 'STORE761', 'store_name': 'Milton Store', 'location': 'West Oxford', 'manager': 'Richard Taylor'}, {'store_id': 'STORE762', 'store_name': 'Marion Store', 'location': 'West Richmond', 'manager': 'Steven King'}  ... displaying 10 of 1000 total bound parameter sets ...  {'store_id': 'STORE1510', 'store_name': 'Riverside Store', 'location': 'East Washington', 'manager': 'Emily Mitchell'}, {'store_id': 'STORE1511', 'store_name': 'Milton Store', 'location': 'East Bristol', 'manager': 'Mark Hall'}]]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2025-08-22 14:31:45.507722
STORE760,Madison Store,East Washington,Sharon Green,"Database insertion failed: (pymysql.err.IntegrityError) (1062, ""Duplicate entry 'STORE500' for key 'dimstore.store_id'"")
[SQL: INSERT INTO dimstore (store_id, store_name, location, manager) VALUES (%(store_id)s, %(store_name)s, %(location)s, %(manager)s)]
[parameters: [{'store_id': 'STORE755', 'store_name': 'Franklin Store', 'location': 'West Georgetown', 'manager': 'Mark Hall'}, {'store_id': 'STORE756', 'store_name': 'Newport Store', 'location': 'West Washington', 'manager': 'Michael Miller'}, {'store_id': 'STORE757', 'store_name': 'Milton Store', 'location': 'West Richmondtown', 'manager': 'George Turner'}, {'store_id': 'STORE758', 'store_name': 'Oxford Store', 'location': 'West Madisontown', 'manager': 'Nancy Martinez'}, {'store_id': 'STORE759', 'store_name': 'Burlington Store', 'location': 'East Riverside', 'manager': 'Andrew Scott'}, {'store_id': 'STORE760', 'store_name': 'Madison Store', 'location': 'East Washington', 'manager': 'Sharon Green'}, {'store_id': 'STORE761', 'store_name': 'Milton Store', 'location': 'West Oxford', 'manager': 'Richard Taylor'}, {'store_id': 'STORE762', 'store_name': 'Marion Store', 'location': 'West Richmond', 'manager': 'Steven King'}  ... displaying 10 of 1000 total bound parameter sets ...  {'store_id': 'STORE1510', 'store_name': 'Riverside Store', 'location': 'East Washington', 'manager': 'Emily Mitchell'}, {'store_id': 'STORE1511', 'store_name': 'Milton Store', 'location': 'East Bristol', 'manager': 'Mark Hall'}]]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2025-08-22 14:31:45.507722
STORE761,Milton Store,West Oxford,Richard Taylor,"Database insertion failed: (pymysql.err.IntegrityError) (1062, ""Duplicate entry 'STORE500' for key 'dimstore.store_id'"")
[SQL: INSERT INTO dimstore (store_id, store_name, location, manager) VALUES (%(store_id)s, %(store_name)s, %(location)s, %(manager)s)]
[parameters: [{'store_id': 'STORE755', 'store_name': 'Franklin Store', 'location': 'West Georgetown', 'manager': 'Mark Hall'}, {'store_id': 'STORE756', 'store_name': 'Newport Store', 'location': 'West Washington', 'manager': 'Michael Miller'}, {'store_id': 'STORE757', 'store_name': 'Milton Store', 'location': 'West Richmondtown', 'manager': 'George Turner'}, {'store_id': 'STORE758', 'store_name': 'Oxford Store', 'location': 'West Madisontown', 'manager': 'Nancy Martinez'}, {'store_id': 'STORE759', 'store_name': 'Burlington Store', 'location': 'East Riverside', 'manager': 'Andrew Scott'}, {'store_id': 'STORE760', 'store_name': 'Madison Store', 'location': 'East Washington', 'manager': 'Sharon Green'}, {'store_id': 'STORE761', 'store_name': 'Milton Store', 'location': 'West Oxford', 'manager': 'Richard Taylor'}, {'store_id': 'STORE762', 'store_name': 'Marion Store', 'location': 'West Richmond', 'manager': 'Steven King'}  ... displaying 10 of 1000 total bound parameter sets ...  {'store_id': 'STORE1510', 'store_name': 'Riverside Store', 'location': 'East Washington', 'manager': 'Emily Mitchell'}, {'store_id': 'STORE1511', 'store_name': 'Milton Store', 'location': 'East Bristol', 'manager': 'Mark Hall'}]]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2025-08-22 14:31:45.507722
STORE762,Marion Store,West Richmond,Steven King,"Database insertion failed: (pymysql.err.IntegrityError) (1062, ""Duplicate entry 'STORE500' for key 'dimstore.store_id'"")
[SQL: INSERT INTO dimstore (store_id, store_name, location, manager) VALUES (%(store_id)s, %(store_name)s, %(location)s, %(manager)s)]
[parameters: [{'store_id': 'STORE755', 'store_name': 'Franklin Store', 'location': 'West Georgetown', 'manager': 'Mark Hall'}, {'store_id': 'STORE756', 'store_name': 'Newport Store', 'location': 'West Washington', 'manager': 'Michael Miller'}, {'store_id': 'STORE757', 'store_name': 'Milton Store', 'location': 'West Richmondtown', 'manager': 'George Turner'}, {'store_id': 'STORE758', 'store_name': 'Oxford Store', 'location': 'West Madisontown', 'manager': 'Nancy Martinez'}, {'store_id': 'STORE759', 'store_name': 'Burlington Store', 'location': 'East Riverside', 'manager': 'Andrew Scott'}, {'store_id': 'STORE760', 'store_name': 'Madison Store', 'location': 'East Washington', 'manager': 'Sharon Green'}, {'store_id': 'STORE761', 'store_name': 'Milton Store', 'location': 'West Oxford', 'manager': 'Richard Taylor'}, {'store_id': 'STORE762', 'store_name': 'Marion Store', 'location': 'West Richmond', 'manager': 'Steven King'}  ... displaying 10 of 1000 total bound parameter sets ...  {'store_id': 'STORE1510', 'store_name': 'Riverside Store', 'location': 'East Washington', 'manager': 'Emily Mitchell'}, {'store_id': 'STORE1511', 'store_name': 'Milton Store', 'location': 'East Bristol', 'manager': 'Mark Hall'}]]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2025-08-22 14:31:45.507722
STORE763,Wayne Store,East Chester,Daniel Robinson,"Database insertion failed: (pymysql.err.IntegrityError) (1062, ""Duplicate entry 'STORE500' for key 'dimstore.store_id'"")
[SQL: INSERT INTO dimstore (store_id, store_name, location, manager) VALUES (%(store_id)s, %(store_name)s, %(location)s, %(manager)s)]
[parameters: [{'store_id': 'STORE755', 'store_name': 'Franklin Store', 'location': 'West Georgetown', 'manager': 'Mark Hall'}, {'store_id': 'STORE756', 'store_name': 'Newport Store', 'location': 'West Washington', 'manager': 'Michael Miller'}, {'store_id': 'STORE757', 'store_name': 'Milton Store', 'location': 'West Richmondtown', 'manager': 'George Turner'}, {'store_id': 'STORE758', 'store_name': 'Oxford Store', 'location': 'West Madisontown', 'manager': 'Nancy Martinez'}, {'store_id': 'STORE759', 'store_name': 'Burlington Store', 'location': 'East Riverside', 'manager': 'Andrew Scott'}, {'store_id': 'STORE760', 'store_name': 'Madison Store', 'location': 'East Washington', 'manager': 'Sharon Green'}, {'store_id': 'STORE761', 'store_name': 'Milton Store', 'location': 'West Oxford', 'manager': 'Richard Taylor'}, {'store_id': 'STORE762', 'store_name': 'Marion Store', 'location': 'West Richmond', 'manager': 'Steven King'}  ... displaying 10 of 1000 total bound parameter sets ...  {'store_id': 'STORE1510', 'store_name': 'Riverside Store', 'location': 'East Washington', 'manager': 'Emily Mitchell'}, {'store_id': 'STORE1511', 'store_name': 'Milton Store', 'location': 'East Bristol', 'manager': 'Mark Hall'}]]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2025-08-22 14:31:45.507722
STORE764,Chester Store,West Marion,Lisa Clark,"Database insertion failed: (pymysql.err.IntegrityError) (1062, ""Duplicate entry 'STORE500' for key 'dimstore.store_id'"")
[SQL: INSERT INTO dimstore (store_id, store_name, location, manager) VALUES (%(store_id)s, %(store_name)s, %(location)s, %(manager)s)]
[parameters: [{'store_id': 'STORE755', 'store_name': 'Franklin Store', 'location': 'West Georgetown', 'manager': 'Mark Hall'}, {'store_id': 'STORE756', 'store_name': 'Newport Store', 'location': 'West Washington', 'manager': 'Michael Miller'}, {'store_id': 'STORE757', 'store_name': 'Milton Store', 'location': 'West Richmondtown', 'manager': 'George Turner'}, {'store_id': 'STORE758', 'store_name': 'Oxford Store', 'location': 'West Madisontown', 'manager': 'Nancy Martinez'}, {'store_id': 'STORE759', 'store_name': 'Burlington Store', 'location': 'East Riverside', 'manager': 'Andrew Scott'}, {'store_id': 'STORE760', 'store_name': 'Madison Store', 'location': 'East Washington', 'manager': 'Sharon Green'}, {'store_id': 'STORE761', 'store_name': 'Milton Store', 'location': 'West Oxford', 'manager': 'Richard Taylor'}, {'store_id': 'STORE762', 'store_name': 'Marion Store', 'location': 'West Richmond', 'manager': 'Steven King'}  ... displaying 10 of 1000 total bound parameter sets ...  {'store_id': 'STORE1510', 'store_name': 'Riverside Store', 'location': 'East Washington', 'manager': 'Emily Mitchell'}, {'store_id': 'STORE1511', 'store_name': 'Milton Store', 'location': 'East Bristol', 'manager': 'Mark Hall'}]]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",2025-08-22 14:31:45.507722
