sale_id,customer_id,product_id,store_id,sale_date,quantity,total_amount,sale_date_key,payment_type,channel,customer_key,product_key,store_key,promotion_key,date_key,rejection_reason,rejection_timestamp,additional_info
SALE100000,CUST8719,PROD1409,STORE164,2024-11-07,1,377.14,20241107,Credit Card,InStore,,410,65,1,20241107,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100001,CUST1284,PROD1317,STORE178,2025-02-19,2,1467.1,20250219,Credit Card,InStore,,318,79,1,20250219,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100002,CUST1000,PROD1461,STORE159,2025-08-06,9,2517.39,20250806,Credit Card,InStore,,462,60,1,20250806,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100003,CUST5803,PROD1056,STORE177,2025-10-13,1,73.51,20251013,Credit Card,InStore,,57,78,1,20251013,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100004,CUST6851,PROD1115,STORE107,2021-09-01,9,2116.26,20210901,Credit Card,InStore,,116,8,1,20210901,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100005,CUST3963,PROD1271,STORE102,2025-05-16,9,318.68999999999994,20250516,Credit Card,InStore,,272,3,1,20250516,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100006,CUST10378,PROD1022,STORE121,2024-01-02,9,626.58,20240102,Credit Card,InStore,,23,22,1,20240102,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100007,CUST3098,PROD1367,STORE110,2024-02-14,9,8634.51,20240214,Credit Card,InStore,,368,11,1,20240214,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100008,CUST5966,PROD1410,STORE193,2022-02-04,9,6065.37,20220204,Credit Card,InStore,,411,94,1,20220204,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100009,CUST3068,PROD1172,STORE190,2020-02-11,5,1926.35,20200211,Credit Card,InStore,,173,91,1,20200211,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100010,CUST7827,PROD1127,STORE108,2023-06-09,1,173.05,20230609,Credit Card,InStore,,128,9,1,20230609,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100011,CUST6604,PROD1170,STORE197,2024-04-07,8,7362.32,20240407,Credit Card,InStore,,171,98,1,20240407,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100012,CUST7509,PROD1293,STORE150,2024-05-16,4,2654.28,20240516,Credit Card,InStore,,294,51,1,20240516,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100013,CUST8874,PROD1299,STORE196,2024-06-30,1,580.19,20240630,Credit Card,InStore,,300,97,1,20240630,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100014,CUST9417,PROD1066,STORE193,2025-08-08,4,58.6,20250808,Credit Card,InStore,,67,94,1,20250808,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100015,CUST8820,PROD1068,STORE109,2023-03-24,7,4869.27,20230324,Credit Card,InStore,,69,10,1,20230324,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100016,CUST2807,PROD1289,STORE112,2022-09-05,2,829.92,20220905,Credit Card,InStore,,290,13,1,20220905,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100017,CUST4190,PROD1008,STORE162,2021-06-30,7,3226.23,20210630,Credit Card,InStore,,9,63,1,20210630,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100018,CUST2932,PROD1207,STORE109,2021-12-08,7,2984.31,20211208,Credit Card,InStore,,208,10,1,20211208,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100019,CUST4973,PROD1341,STORE142,2021-09-07,4,550.28,20210907,Credit Card,InStore,,342,43,1,20210907,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100020,CUST1266,PROD1441,STORE136,2022-09-06,3,2956.92,20220906,Credit Card,InStore,,442,37,1,20220906,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100021,CUST6382,PROD1084,STORE150,2020-04-27,4,1744.4,20200427,Credit Card,InStore,,85,51,1,20200427,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100022,CUST9806,PROD1485,STORE173,2021-06-02,3,1584.06,20210602,Credit Card,InStore,,486,74,1,20210602,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100023,CUST10557,PROD1018,STORE185,2025-06-01,3,784.1999999999999,20250601,Credit Card,InStore,,19,86,1,20250601,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100024,CUST3418,PROD1093,STORE154,2024-07-14,2,591.02,20240714,Credit Card,InStore,,94,55,1,20240714,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100025,CUST7834,PROD1452,STORE152,2025-01-03,1,953.26,20250103,Credit Card,InStore,,453,53,1,20250103,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100026,CUST8500,PROD1042,STORE193,2021-11-30,7,3282.58,20211130,Credit Card,InStore,,43,94,1,20211130,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100027,CUST5765,PROD1182,STORE106,2022-02-14,9,3183.84,20220214,Credit Card,InStore,,183,7,1,20220214,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100028,CUST6641,PROD1037,STORE107,2024-01-26,4,116.0,20240126,Credit Card,InStore,,38,8,1,20240126,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100029,CUST9819,PROD1452,STORE189,2023-01-02,8,6674.32,20230102,Credit Card,InStore,,453,90,1,20230102,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100030,CUST10160,PROD1274,STORE183,2022-08-07,2,1439.38,20220807,Credit Card,InStore,,275,84,1,20220807,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100031,CUST5485,PROD1172,STORE158,2025-01-24,8,4268.88,20250124,Credit Card,InStore,,173,59,1,20250124,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100032,CUST7772,PROD1222,STORE182,2025-09-02,6,3896.64,20250902,Credit Card,InStore,,223,83,1,20250902,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100033,CUST9373,PROD1455,STORE139,2023-07-25,4,720.52,20230725,Credit Card,InStore,,456,40,1,20230725,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
SALE100034,CUST3283,PROD1072,STORE119,2022-12-17,2,826.22,20221217,Credit Card,InStore,,73,20,1,20221217,Missing dimension keys,2025-08-22 14:52:02.335069,Missing keys: {'customer_key': np.int64(100026)}
